series,episode,baker,signature_bake,technical,result,show_stopper,baker_last_name,baker_age,baker_occupation,hometown
1,1,Annetha,Light Jamaican Black Cakewith Strawberries and Cream,2,IN,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",Mills,30,Midwife,Essex
1,1,David,Chocolate Orange Cake,3,IN,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",Chambers,31,Entrepreneur,Milton Keynes
1,1,Edd,Caramel Cinnamon and Banana Cake,1,IN,N/A,Kimber,24,Debt collector for Yorkshire Bank,Bradford
1,1,Jasminder,Fresh Mango and Passion Fruit Hummingbird Cake,NA,IN,N/A,Randhawa,45,Assistant Credit Control Manager,Birmingham
1,1,Jonathan,Carrot Cake with Lime and Cream Cheese Icing,9,IN,Three Tiered White and Dark Chocolate with Almond and Cherry,Shepherd,25,Research Analyst,St Albans
1,1,Louise,Carrot and Orange Cake,NA,IN,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",Brimelow,44,Police Officer,Manchester
1,1,Miranda,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",8,IN,Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,1,Ruth,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,NA,IN,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire"
1,1,Lea,Cranberry and Pistachio Cakewith Orange Flower Water Icing,10,OUT,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,Harris,51,Retired,"Midlothian, Scotland"
1,1,Mark,Sticky Marmalade Tea Loaf,NA,OUT,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,Whithers,48,Bus Driver,South Wales
1,2,David,Cheddar Cheese and Fresh Rosemary Biscuits,8,IN,Choux Pastry Swans  Chocolate Profiteroles,Chambers,31,Entrepreneur,Milton Keynes
1,2,Edd,Oatmeal Raisin Cookie,6,IN,Pink Macarons,Kimber,24,Debt collector for Yorkshire Bank,Bradford
1,2,Jasminder,Millionaires' Shortbread,2,IN,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,Randhawa,45,Assistant Credit Control Manager,Birmingham
1,2,Jonathan,Honey and Candied Ginger Cookies,1,IN,Meringues with Whiskey Cream,Shepherd,25,Research Analyst,St Albans
1,2,Miranda,Fresh Vanilla Biscuits with Royal Icing,3,IN,Pistachio Macarons,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,2,Ruth,Peanut Shortbread withSalted Peanut Caramel,5,IN,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire"
1,2,Annetha,Rose Petal Shortbread,7,OUT,Pink Swirl Macarons / Eclairs,Mills,30,Midwife,Essex
